,大分類,,中分類,,小分類,シナリオ,期待結果
1,電源,1-1,コネクタ脱着,1-1-1,Sleep中にコネクタ脱着,製品がSleepモードに入った後、特定のコネクタを取り外す。,製品が安全に動作し、エラーメッセージや警告を表示する。
,,,,1-1-2,WakeUp(通信)中にコネクタ脱着,製品が通信モードに入った後、特定のコネクタを取り外す。,通信が中断し、製品がエラーメッセージや警告を表示する。
,,1-2,状態変化,1-2-1,電源OFF中の状態変化後に電源ON,製品の電源をOFFにした後、外部からの信号やセンサーの値、製品の状態を変更し、電源を再度ONにする。,製品が正常に起動し、変更された状態を正確に検出する。
,,1-3,SW操作,1-3-1,SW操作中に電源ON→OFF,製品のSW操作中に突然電源を切る。,製品が安全にシャットダウンし、データの破損や不整合が発生しない。
,,,,1-3-2,SW操作中に電源OFF→ON,製品のSW操作中に電源を切り、再度電源を入れる。,製品が正常に再起動し、前回の操作状態が正確に復元される。
,,1-4,電圧変動,1-4-1,リセット直後の通信ライン確認,リセット直後に通信ラインを確認する。,不用意なBUSエッジが発生しないこと。
,,1-5,データフラッシュ,1-5-1,外乱発生中の書込み確認,外乱、低電圧時の書き込み動作を確認する。,書き込み動作が正常に行われること。
,,1-6,EEPROM,1-6-1,EEPROMへ読み出しアクセス中（イニシャル時）に電源OFF,製品がEEPROMへの読み出しアクセス中（イニシャル時）に電源がOFFになる。,製品が安全にシャットダウンし、データの破損や不整合が発生しないこと。
,,,,1-6-2,EEPROMへ書き込みアクセス中に電源OFF,製品がEEPROMへの書き込みアクセス中に電源がOFFになる。,製品が安全にシャットダウンし、書き込みデータの破損や不整合が発生しないこと。
,,1-7,アクチュエータ,1-7-1,アクチュエータ作動中に電源OFF,製品のアクチュエータが作動中に電源がOFFになる。,製品が安全にシャットダウンし、アクチュエータの動作が適切に停止すること。
,,,,1-7-2,アクチュエータ作動中に電源電圧変動,製品のアクチュエータが作動中に電源電圧が変動する。,製品が安全に動作し、アクチュエータの動作に異常が発生しないこと。
2,操作,2-1,同時操作,2-1-1,複数SWの同時操作,製品の複数のSWが同時に操作される。,製品が安全に動作し、各SWの操作に応じた適切な反応や動作をすること。
,,2-2,パチンコ操作,2-2-1,単一SWのパチンコ操作,製品の単一SWを短時間で連続して操作する（パチンコ操作）。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,,,2-2-2,複数SWのパチンコ操作,製品の複数のSWを短時間で連続して操作する（パチンコ操作）。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,2-3,連続操作,2-3-1,単一SWの連続操作,製品の単一SWを連続して操作する。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,,,2-3-2,複数SWの連続操作,製品の複数のSWを連続して操作する。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,2-4,長時間操作,2-4-1,単一SWの長時間操作（長押し）,製品の単一SWを長時間操作する（長押し）。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,,,2-4-2,複数SWの長時間操作（長押し）,製品の複数のSWを長時間操作する（長押し）。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,2-5,短時間操作,2-5-1,単一SWの短時間操作（単押し）,製品の単一SWを短時間操作する（単押し）。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,,,2-5-2,複数SWの短時間操作（単押し）,製品の複数のSWを短時間操作する（単押し）。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,2-6,操作ストローク,2-6-1,短いストロークでのSW操作時の製品の挙動,製品のSWを短いストロークで操作する。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,,,2-6-2,長いストロークでのSW操作時の製品の挙動,製品のSWを長いストロークで操作する。,製品が安全に動作し、SWの操作に応じた適切な反応や動作をすること。
,,2-7,アクチュエータ,2-7-1,アクチュエータ作動中にSW操作,"製品のアクチュエータが作動中にSWを操作する。	",製品が安全に動作し、アクチュエータとSWの操作に応じた適切な反応や動作をすること。
,,,,2-7-2,アクチュエータの連続作動,製品のアクチュエータを連続して作動させる。,製品が安全に動作し、アクチュエータとSWの操作に応じた適切な反応や動作をすること。
,,,,2-7-3,アクチュエータの同一方向への連続作動,製品のアクチュエータを同一方向へ連続して作動させる。,製品が安全に動作し、アクチュエータとSWの操作に応じた適切な反応や動作をすること。
,,2-8,ランダム操作,2-8-1,ユーザー目線のランダムSW操作,製品のSWをユーザー目線でランダムに操作する。,製品が安全に動作し、ランダムなSW操作に応じた適切な反応や動作をすること。
,,2-9,不揮発性メモリへ,2-9-1,不揮発性メモリへの連続書き込み,製品の不揮発性メモリに連続して書き込みを行う。,製品が安全に動作し、データの破損や不整合が発生しないこと。
,,2-10,一連の操作,2-10-1,Sleep→WakeUp→Sleepまでの一連の操作,駐車、解錠、乗車、EG始動、走行、停車、EG停止、降車、施錠、駐車後マイコンスリープまでの一連の動作を行う。,製品が正常に動作し、エラーメッセージや警告が表示されないこと。
,,,,2-10-2,Sleep→WakeUp→Sleepまでの一連の操作を中断,駐車、解錠、乗車、EG始動、走行、停車、EG停止、降車、施錠、駐車後マイコンスリープまでの一連の動作を途中でやめる。,製品が安全に動作し、エラーメッセージや警告を表示する。
,,,,2-10-3,異なる順序で操作,通常のフローとは異なる操作をする。,製品が安全に動作し、エラーメッセージや警告を表示する。
,,2-11,動作範囲外への操作,2-11-1,動作範囲外への連続操作,製品を動作範囲外へ連続して操作する。,製品が安全に動作し、動作範囲外の操作に対してエラーメッセージや警告を表示すること。
,,2-12,Sleep中の操作,2-12-1,Sleep中のSW操作,"製品がSleepモード中にSWを操作する。	",製品がWakeUpモードに移行し、Sleep中の操作をWakeUp時に出力しないこと。
,,,,2-12-2,SWを押しながらWakeUp,製品のSWを押しながらWakeUpモードに移行する。,製品がWakeUpモードに移行した後、押されているSWに対応する機能が即座に実行される。
,,2-13,ダイアグ検出条件,2-13-1,過敏すぎるダイアグ検出条件はないか,製品のダイアグ検出条件をテストする。,過敏すぎる検出条件による誤検出が発生しないこと。
,,,,2-13-2,意地悪操作後のダイアグ確認,意地悪な使われ方をする。,製品がダイアグ検出に至るまでのマージンがあり、エラーメッセージや警告を適切に表示すること。
,,,,2-13-3,異常条件下のダイアグ確認,異常な環境条件下で動作させる。,製品がダイアグ検出に至るまでのマージンがあり、エラーメッセージや警告を適切に表示すること。
3,通信,3-1,共通,3-1-1,WakeUp時、電源復帰時の送信値,製品のWakeUp時や電源復帰時の通信送信値を確認する。,送信値が仕様通りであること。
,,,,3-1-2,受信フレームの使用するデータ以外のデータの変動,製品の受信フレームで使用していないデータ部分を変動させる。,製品がそのデータ変動に影響されず、正常に通信を継続すること。
,,,,3-1-3,受信フレームのカウンタ値、サム値異常,製品の受信フレームのカウンタ値やサム値に異常を発生させる。,製品が通信エラーを検出し、エラーメッセージや警告を表示すること。
,,,,3-1-4,通信停止中の状態変化,"製品の通信が停止中に外部からの状態変化を発生させる。	",製品がその状態変化に影響されず、正常に通信を再開すること。
,,3-2,LIN,3-2-1,スケジューリングテーブルの変更（反転）,製品のLIN通信のスケジューリングテーブルを変更し、順序を反転させる。,製品が変更されたスケジューリングテーブルに従い、正常に通信を継続すること。
,,,,3-2-2,バスフェール検出と同時にバスエッジ検出,製品のLIN通信でバスフェール検出と同時にバスエッジを検出する。,製品が通信エラーを検出、エラー解消後正常に動作すること。
,,,,3-2-3,Sleep中のバスエッジ,製品のLIN通信がSleep中で意図しないバスエッジを検出する。,製品がWakeUpモードに移行し、その後スリープすること。
,,,,3-2-4,通信異常からの復帰,異常→復帰後の製品の動作を確認する（異常前の古いデータの送信も含む）。,製品が正常に動作し、異常前の古いデータが送信されないこと。
,,3-3,CAN,3-3-1,イベント送信禁止期間中のイベント発生,製品のCAN通信でイベント送信禁止期間中にイベントが発生する。,製品がイベント送信を行わず、エラーメッセージや警告を表示すること。
,,,,3-3-2,イベント送信の参照データ,製品のCAN通信のイベント送信の参照データを確認する。,参照データが仕様通りであること。
,,,,3-3-3,定期送信禁止期間中の状態変化,製品のCAN通信の定期送信禁止期間中に状態が変化する。,製品が定期送信を行わず、状態変化に応じた適切な動作をすること。
,,,,3-3-4,バスオフとバスオフ復帰の同時発生,製品のCAN通信でバスオフとバスオフ復帰が同時に発生する。,製品が通信エラーを検出し、エラーメッセージや警告を表示すること。
,,,,3-2-5,Sleep中のバスエッジ,製品のCAN通信がSleep中で意図しないバスエッジを検出する。,製品がWakeUpモードに移行し、その後スリープすること。
,,,,3-3-6,通信異常からの復帰,異常→復帰後の製品の動作を確認する（異常前の古いデータの送信も含む）。,製品が正常に動作し、異常前の古いデータが送信されないこと。
,,3-4,無線（LF/RF）,3-4-1,RFノイズ印可,ワイヤレス類似RFノイズを印加する（例：センサーライト、ポスターパネル、リモコンランタンのRFノイズ）。,製品がRFノイズの影響を受けず、正常に動作すること。
,,,,3-4-2,LFノイズ印可,スマホノイズのLFノイズ、プラズマクラスターのLFノイズを印加する。,製品がLFノイズの影響を受けず、正常に動作すること。
4,外乱,4-1,モーター,4-1-1,Sleep中にモーターノイズ,製品がSleep中にモーターノイズが発生する。,製品がノイズに影響されず、正常にSleepモードを継続すること。
,,,,4-1-2,WakeUp中にモーターノイズ,製品がWakeUp中にモーターノイズが発生する。,製品がノイズに影響されず、正常にWakeUpモードを継続すること。
,,,,4-1-3,EEPROMへ書き込みアクセス中にモーターノイズ,製品がEEPROMへの書き込みアクセス中にモーターノイズが発生する。,製品がノイズに影響されず、書き込みアクセスが正常に完了すること。
5,状態,5-1,アクチュエータ負荷状態,5-1-1,（機械的）有負荷状態でアクチュエータ作動,製品のアクチュエータを機械的に有負荷状態で作動させる。,アクチュエータが正常に動作し、エラーメッセージや警告を表示しないこと。
,,5-2,アクチュエータ作動状態,5-2-1,アクチュエータ作動中に反転作動要求,製品のアクチュエータ作動中に反転作動を要求する。,アクチュエータが安全に反転作動を開始し、エラーメッセージや警告を表示しないこと。
,,5-3,アクチュエータ作動状態変化,5-3-1,アクチュエータ作動状態変化間際に別の作動要求,製品のアクチュエータ作動状態が変化する間際に別の作動を要求する。,アクチュエータが新しい作動要求に応じて正常に動作すること。
,,5-4,シーケンス途中,5-4-1,シーケンス途中のリセット,製品の動作シーケンス途中でリセットを行う。,製品が安全にリセットされ、初期状態から正常に動作を再開すること。
,,5-5,非動作モード,5-5-1,非動作モード時の作動要求,製品が非動作モード時に作動を要求する。,製品が作動要求を無視し、エラーメッセージや警告を表示しないこと。
,,5-6,長時間作動確認,5-6-1,特定の時間放置,既定の時間/期間を経過する。,製品が意図通りに機能していること。
6,入力,6-1,タッチセンサー,6-1-1,異物置き,製品のタッチセンサー上に異物を置く。,タッチセンサーが異物を正確に検出し、エラーメッセージや警告を表示すること。
,,,,6-1-2,ユーザー目線のランダム操作,製品のタッチセンサーにユーザー目線でランダムに操作する。,タッチセンサーが各操作を正確に検出し、適切な動作を行うこと。
,,,,6-1-3,タッチセンサーへ接触ぎりぎり状態での挙動,製品のタッチセンサーに接触するギリギリの状態での動作を確認する。,タッチセンサーが接触を正確に検出し、適切な動作を行うこと。
,,,,6-1-4,タッチ状態で電源ON、WakeUp,製品のタッチセンサーがタッチ状態で電源をON、またはWakeUpする。,タッチセンサーがタッチ状態を正確に検出し、適切な動作を行うこと。
,,,,6-1-5,タッチ状態で電源電圧変動,製品のタッチセンサーがタッチ状態で電源電圧が変動する。,タッチセンサーがタッチ状態を維持し、エラーメッセージや警告を表示しないこと。
,,,,6-1-6,導電性物質の近接,導電性異物（例：コイン）を近接させる。,製品が正常に動作し、エラーメッセージや警告が表示されないこと。
,,,,6-1-7,様々な指での検証,濡れ指、乾燥指、手袋を使用して操作する。,製品が正常に動作し、エラーメッセージや警告が表示されないこと。
,,6-2,同時入力,6-2-1,有り得ない組み合わせの同時入力,製品に有り得ない組み合わせの同時入力を行う。,製品が異常な入力を正確に検出し、エラーメッセージや警告を表示すること。
,,6-3,時間DELAY,6-3-1,じか線データと通信データの時間Delay,製品のじか線データと通信データに時間Delayを発生させる。,製品が時間Delayを正確に検出し、適切な動作やエラーメッセージを行うこと。
,,,,6-3-2,タイマ機能の時間を徐々に変化,タイマなどの機能が徐々にずれが大きくなる。,製品が正常に動作し、エラーメッセージや警告が表示されないこと。
,,6-4,範囲外データ入力,6-4-1,有り得ない範囲外データの入力,製品に有り得ない範囲外データを入力する。,製品が範囲外データを正確に検出し、エラーメッセージや警告を表示すること。
,,6-5,シーケンス異常,6-5-1,有り得ないシーケンスでの入力,製品に有り得ないシーケンスでの入力を行う。,製品が異常なシーケンスを正確に検出し、エラーメッセージや警告を表示すること。
,,6-6,割り込み,6-6-1,EEPROMへ読み出しアクセス中（イニシャル時）に割り込み,製品のEEPROMへの読み出しアクセス中（イニシャル時）に割り込みを発生させる。,製品が割り込みを正確に検出し、読み出しアクセスを安全に完了すること。
,,,,6-6-2,EEPROMへ書き込みアクセス中に割り込み,製品のEEPROMへの書き込みアクセス中に割り込みを発生させる。,製品が割り込みを正確に検出し、書き込みアクセスを安全に完了すること。
7,製品別,7-1,パルス出力モータ制御製品,7-1-1,位置カウンタ（窓やシートなど）のズレ確認,"位置カウンタのズレがないか確認する。
(実施方法は参考資料参照)",ズレが発生していないこと、またはズレを正確に検出し、エラーメッセージや警告を表示すること。
,,7-2,照合,7-2-1,D席、P席の入力タイミングをずらしたワイヤレス警報確認,D席、P席の入力タイミングをずらしてワイヤレス警報を確認する。,警報が正確に検出され、適切な動作やエラーメッセージを行うこと。
,,7-3,電池動作製品,7-3-1,電池の接圧低下時の挙動確認,ターミナルと電池の接圧低下時の動作を確認する。,部品が正常に動作し、エラーメッセージや警告が表示されないこと。
